Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
Ali Fedotowsky[1][4],25,4,14,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Corrie Adamson,23,5,14,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Ashleigh Hunt[1],25,6,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Jessica ""Jessie"" Sulidis[1]",25,6,14,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Kathryn Sherlock[5],25,8,14,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Ella Nolan[1][4],30,8,14,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Elizabeth Kitt (NE)[4],29,10,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Valishia Savage[6],32,10,14,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Michelle Kujawa[4],26,12,14,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Ashley Elmore[7],29,13,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Christina McCasland[8],25,13,14,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Rozlyn Papa[4],28,15,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Alexa ""Lex"" McAllister[9]",25,16,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Caitlyn McCabe[10],24,16,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Channy Choch[11],29,16,14,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Elizabeth Kreft (D.C.)[12],29,16,14,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Emily Harkins[9],23,16,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kimberly Sullivan[13],24,16,14,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Kirsten Pittman[14],25,16,14,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Sheila Lidner,25,16,14,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Stephanie Mueller[13],24,16,14,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Tiana Kruzel[15],31,16,14,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Emily Maynard[7],24,1,15,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Chantal O'Brien[9],28,2,15,3.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Ashley Hebert[10],26,3,15,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Shawntel Newton[12],25,4,15,4.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Michelle Money,30,5,15,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Britt Billmaier[9],25,6,15,6.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jackie Gordon[15],26,7,15,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
